Obs,Season,Name,Weekly Gross,Annual Gross,Total Gross,Weekly Net,Annual Net,Ln Annual Net,Gen Pos,DEF,MID,FOR,Club,Transfer In,League,Player,Nation,Domestic,Europe,Pos,Age,AgeSQ,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Av Dist,FK,PK Made,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Tot Cmp,Tot Att,Cmp%,TotDist,PrgDist,SHCmp,SHAtt,Cmp%,MEDCmp,MEDAtt,Cmp%,LNCmp,LNAtt,Cmp%,Ast,xA,A-xA,KP,Thirds,PPA,CrsPA,Prog Passes,Att,Live Ball Passes,Dead,FK,TB,Pass Under Press,Sw,Crs,CK,In Corner,Out Corner,Str Corner,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Offside,Out,Intercepted,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Sh Goal,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl vs Dribble,Att vs Dribble,Tkl%,Past,Press,Press Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks Shot,Blocks ShSv,Block Pass,Intercept,TklInt,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveBallTouch,SuccDribs,Att,Succ%,No.Players Dribbled,Megs,Carries,TotDist,PrgDist,Prog,Carries Third,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,CrdY,CrdR,2CrdY,Fls Comm,Fls Drawn,Offsides,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerials Won,Aeriels Lost,Won%,Matches
,22/23,Paul Pogba,"165,444","8,603,096","25,809,288","129,001","6,708,067",15.72,M,0,1,0,Juventus,1,Serie A,Paul Pogba,France,0,1,CM,29,841,20,16,"1,349",15,1,9,1,0,0,7,1,0.07,0.6,0.67,0.07,0.67,2.4,2.4,3.5,6,0.16,0.24,0.4,0.16,0.4,32,8,25,2.13,0.53,0.03,0.13,17.3,0,0,0,2.4,2.4,0.08,-1.4,-1.4,738,879,84,14891,3918,302,345,87.5,281,315,89.2,134,171,78.4,9,3.5,5.5,24,110,26,5,94,879,865,14,12,5,184,47,15,1,0,0,0,655,89,135,94,737,18,0,7,738,3,17,30,20,51,3.4,40,1,4,1,5,0,11,0.73,10,1,0,0,0,0,20,13,9,9,2,5,19,26.3,14,264,76,28.8,61,127,76,16,1,0,15,19,39,25,0,1086,28,182,651,326,51,1075,40,52,76.9,41,1,811,3509,2109,97,24,8,25,34,968,851,87.9,60,67,39.4,15,16,78,9,4,27,0,1.5,26,22,4,0.27,0.44,26.8,19.1,7.7,0.52,0.84,7,1,0,45,39,0,15,19,13,0,0,0,126,39,26,60,Matches
,22/23,Romelu Lukaku,"165,444","8,603,096","8,603,096","129,001","6,708,067",15.72,F,0,0,1,Inter Milan,1,Serie A,Romelu Lukaku,Belgium,0,1,CF,29,841,26,16,"1,589",17.7,8,0,7,1,1,1,0,0.45,0,0.45,0.4,0.4,6.8,6.1,3,9,0.39,0.17,0.55,0.34,0.51,42,13,31,2.38,0.74,0.17,0.54,13.1,1,1,1,6.8,6.1,0.14,1.2,0.9,234,320,73.1,2993,430,151,185,81.6,56,82,68.3,10,17,58.8,0,3,-3,21,7,9,0,16,320,293,27,0,5,119,2,9,0,0,0,0,216,62,42,173,88,12,0,15,234,2,2,24,13,44,2.49,30,0,4,2,6,2,5,0.28,0,0,1,0,3,1,5,3,0,2,3,2,5,40,3,190,55,28.9,6,63,121,10,3,0,7,1,6,21,0,504,21,32,223,276,106,476,15,29,51.7,19,1,298,1263,759,42,12,23,38,28,777,371,47.7,149,61,46.5,17.7,16,86,11,10,22,3,1.88,33,14,19,1.08,-0.1,28.5,17.8,10.7,0.6,-0.41,1,0,0,8,14,14,9,1,3,3,0,0,49,48,50,49,Matches
,22/23,Ángel Di María,"124,002","6,448,129","6,448,129","96,751","5,031,050",15.43,F,0,0,1,Juventus,1,Serie A,Ángel Di María,Argentina,0,0,RW,34,1156,26,19,"1,645",18.3,5,7,5,0,0,2,0,0.27,0.38,0.66,0.27,0.66,5.5,5.5,6.9,12.3,0.3,0.37,0.67,0.3,0.67,51,22,43.1,2.79,1.2,0.1,0.23,19.2,1,0,0,5.5,5.5,0.11,-0.5,-0.5,895,1179,75.9,15850,4357,462,538,85.9,304,385,79,116,208,55.8,7,6.9,0.1,55,59,48,10,106,1179,1095,84,13,8,140,44,65,49,22,18,0,822,132,225,1070,69,14,21,4,895,7,14,71,34,95,5.2,69,14,6,3,2,1,13,0.71,12,0,0,0,1,0,30,18,8,14,8,12,41,29.3,29,267,78,29.2,44,84,139,16,0,0,16,18,48,3,0,1396,13,114,597,799,93,1312,37,61,60.7,41,4,1086,6438,3761,206,65,25,31,27,1274,1138,89.3,153,63,48.1,18.3,19,79,4,7,20,3,2.12,40,13,27,1.48,0.11,38.2,16.9,21.3,1.17,0.32,2,0,0,12,16,7,65,18,18,1,0,0,92,1,1,50,Matches
,22/23,Bremer,"149,319","7,764,588","38,822,938","80,626","4,192,542",15.25,D,1,0,0,Juventus,1,Serie A,Bremer,Brazil,0,0,CB,25,625,33,33,"2,890",32.1,3,1,3,0,0,7,0,0.09,0.03,0.12,0.09,0.12,4.1,4.1,0.2,4.3,0.13,0.01,0.13,0.13,0.13,28,10,35.7,0.87,0.31,0.11,0.3,9.1,0,0,0,4.1,4.1,0.16,-1.1,-1.1,1194,1403,85.1,27244,7019,269,316,85.1,649,713,91,262,345,75.9,1,0.2,0.8,7,53,2,0,53,1403,1376,27,23,0,215,23,1,0,0,0,0,996,143,264,201,1022,83,1,8,1194,3,19,10,16,22,0.69,14,1,0,5,0,2,2,0.06,1,0,0,1,0,0,51,27,24,26,1,8,18,44.4,10,541,219,40.5,264,258,19,86,27,0,59,117,168,199,1,1885,226,971,927,98,54,1860,11,17,64.7,12,0,1007,5485,2205,45,10,1,13,16,921,887,96.3,8,88,84.5,32.1,33,88,29,0,,1,1.33,39,30,9,0.28,0.96,42.6,31.5,11.1,0.35,0.69,7,0,0,71,22,5,1,117,27,0,0,0,459,154,135,53.3,Matches
,22/23,Paulo Dybala,"134,323","6,984,775","20,954,324","72,563","3,773,288",15.14,F,0,0,1,Roma,1,Serie A,Paulo Dybala,Argentina,0,0,SS,28,784,29,26,"2,061",22.9,10,5,9,1,2,3,0,0.44,0.22,0.66,0.39,0.61,8.1,6.6,3.7,10.3,0.35,0.16,0.52,0.29,0.45,98,37,37.8,4.28,1.62,0.09,0.24,21.9,11,1,2,8.1,6.6,0.07,1.9,2.4,916,1130,81.1,17304,3637,424,498,85.1,343,399,86,134,194,69.1,5,3.7,1.3,38,70,32,7,99,1130,1019,111,27,1,168,66,33,40,11,19,1,814,155,161,982,100,21,7,16,916,4,15,40,28,95,4.15,64,11,6,3,8,3,12,0.52,10,2,0,0,0,0,26,15,6,10,10,5,33,15.2,28,331,91,27.5,73,133,125,24,0,0,24,19,45,3,0,1473,9,158,746,662,90,1359,34,62,54.8,38,2,1047,5085,2328,133,32,16,67,39,1353,1125,83.1,175,71,60.3,22.9,26,76,11,3,28,0,1.59,33,23,10,0.44,-0.23,29.6,20.8,8.8,0.39,0.08,3,0,0,20,54,6,33,19,15,0,0,0,146,4,25,13.8,Matches
,22/23,Henrikh Mkhitaryan,"78,530","4,083,536","8,167,072","61,276","3,186,332",14.97,F,0,0,1,Inter Milan,1,Serie A,Henrikh Mkhitaryan,Armenia,0,1,AM,33,1089,31,29,"2,495",27.7,5,6,5,0,0,4,1,0.18,0.22,0.4,0.18,0.4,3.8,3.8,4.6,8.4,0.14,0.17,0.3,0.14,0.3,55,15,27.3,1.98,0.54,0.09,0.33,20.2,0,0,0,3.8,3.8,0.07,1.2,1.2,969,1172,82.7,17392,4126,449,512,87.7,382,448,85.3,121,153,79.1,6,4.6,1.4,38,84,42,6,112,1172,1136,36,15,5,196,33,34,7,5,2,0,897,144,131,238,866,36,13,8,969,3,11,50,36,85,3.07,62,1,5,7,6,4,12,0.43,9,0,1,1,1,0,48,32,16,25,7,17,54,31.5,37,564,170,30.1,130,302,132,47,2,0,45,43,91,25,0,1512,39,263,835,550,73,1479,30,61,49.2,37,7,1000,5851,3367,144,56,15,39,37,1187,1020,85.9,137,80,73,27.7,29,84,18,2,36,1,1.81,42,28,14,0.51,0.31,44.5,26.5,18,0.65,-0.05,4,1,1,48,56,5,34,43,32,1,0,0,264,12,19,38.7,Matches
,22/23,Nemanja Matic,"72,402","3,764,903","3,764,903","56,438","2,934,779",14.89,M,0,1,0,Roma,1,Serie A,Nemanja Matic,Serbia,0,1,DM,33,1089,23,16,"1,382",15.4,0,4,0,0,0,3,0,0,0.26,0.26,0,0.26,0.2,0.2,1.8,1.9,0.01,0.12,0.13,0.01,0.13,6,1,16.7,0.39,0.07,0,0,23.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,881,1010,87.2,16793,4730,364,410,88.8,373,410,91,125,149,83.9,4,1.8,2.2,13,101,8,1,87,1010,980,30,25,4,168,27,5,0,0,0,0,796,96,118,792,152,34,5,4,881,3,5,30,21,28,1.82,25,0,0,0,1,2,5,0.33,5,0,0,0,0,0,34,28,20,13,1,10,29,34.5,19,232,70,30.2,106,107,19,34,6,0,28,32,66,31,1,1185,59,368,725,189,8,1160,11,13,84.6,11,0,786,4583,2840,120,28,2,18,17,858,827,96.4,8,60,40.4,15.4,16,80,7,7,15,10,1.48,22,26,-4,-0.26,-0.44,20.3,23.7,-3.4,-0.22,-0.38,3,0,0,32,7,0,5,32,28,0,0,0,165,34,21,61.8,Matches
,22/23,Alessandro Florenzi,"89,656","4,662,107","4,662,107","48,375","2,515,525",14.74,D,1,0,0,Roma,1,Serie A,Alessandro Florenzi,Italy,1,1,RB,31,961,24,12,"1,152",12.8,2,0,2,0,0,2,0,0.16,0,0.16,0.16,0.16,0.7,0.7,1.2,2,0.06,0.1,0.15,0.06,0.15,22,6,27.3,1.72,0.47,0.09,0.33,24,2,0,0,0.7,0.7,0.03,1.3,1.3,650,805,80.7,13086,4513,230,247,93.1,299,331,90.3,105,190,55.3,0,1.2,-1.2,12,58,28,8,63,805,685,120,22,1,62,36,31,17,8,5,1,455,163,187,43,650,15,81,5,650,4,9,18,19,33,2.58,26,5,0,0,1,1,1,0.08,1,0,0,0,0,0,28,16,11,10,7,9,31,29,22,188,57,30.3,71,87,30,16,2,0,14,33,61,15,2,923,32,258,493,235,19,804,7,11,63.6,8,1,564,2832,1634,74,23,4,5,4,636,585,92,29,48,33.7,12.8,12,77,3,12,19,4,2.08,23,10,13,1.02,0.02,21.5,10.4,11.1,0.86,0.18,2,0,0,11,8,3,31,33,16,0,0,0,114,13,10,56.5,Matches
,22/23,Alessio Romagnoli,"89,656","4,662,107","23,310,533","48,375","2,515,525",14.74,D,1,0,0,Lazio,1,Serie A,Alessio Romagnoli,Italy,1,1,CB,27,729,19,16,"1,409",15.7,1,0,1,0,0,4,1,0.06,0,0.06,0.06,0.06,0.7,0.7,0.1,0.8,0.04,0.01,0.05,0.04,0.05,12,5,41.7,0.77,0.32,0.08,0.2,12,0,0,0,0.7,0.7,0.06,0.3,0.3,877,980,89.5,17875,5644,242,272,89,488,512,95.3,122,160,76.3,0,0.1,-0.1,3,56,2,0,60,980,932,48,33,0,77,12,1,0,0,0,0,760,80,140,780,126,34,2,5,877,1,8,12,11,10,0.64,9,0,0,1,0,0,2,0.13,2,0,0,0,0,0,25,14,14,11,0,10,15,66.7,5,147,51,34.7,64,74,9,26,11,1,15,28,53,50,0,1111,124,539,583,49,20,1065,2,2,100,2,0,707,3353,1434,34,5,0,1,1,800,773,96.6,5,74,41.2,15.7,16,86,14,3,9,10,2.16,25,16,9,0.57,-0.72,21.9,14.4,7.5,0.48,-0.45,4,1,0,18,14,3,1,28,14,0,1,0,152,51,26,66.2,Matches
,22/23,Luka Jovic,"51,762","2,691,612","5,383,224","40,313","2,096,271",14.56,F,0,0,1,Fiorentina,1,Serie A,Luka Jovic,Serbia,0,1,CF,24,576,15,1,369,4.1,1,3,1,0,0,1,0,0.24,0.73,0.98,0.24,0.98,2.3,2.3,0.8,3.1,0.57,0.2,0.76,0.57,0.76,16,4,25,3.9,0.98,0.06,0.25,13.3,0,0,0,2.3,2.3,0.15,-1.3,-1.3,54,69,78.3,852,139,32,39,82.1,15,20,75,4,4,100,3,0.8,2.2,4,4,2,0,7,69,66,3,1,0,22,2,1,0,0,0,0,45,12,12,18,38,4,0,2,54,0,2,0,1,12,2.93,8,1,1,2,0,0,3,0.73,3,0,0,0,0,0,3,2,1,2,0,1,1,100,0,44,8,18.2,3,24,17,2,0,0,2,2,5,4,0,122,4,12,66,51,24,120,7,10,70,7,0,75,325,150,7,3,1,11,7,153,90,58.8,21,25,10.8,4.1,1,60,0,14,22,12,2.07,13,2,11,2.68,1.56,10.9,5.8,5.1,1.25,0.59,1,0,0,4,3,2,1,2,2,0,0,0,17,11,8,57.9,Matches
