Season,Weekly Gross,Annual Gross,Total Gross,Weekly Net,Annual Net,Ln Annual Net,Transfer In,Age,AgeSQ,Matches Played,Starts,Minutes,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xA,npxG+xA,Sh,SoT,SoT%,G/Sh,Av Dist,FK,PK Made,npxG/Sh,G-xG,np:G-xG,Tot Cmp,Tot Att,TotDist,PrgDist,SHCmp,SHAtt,MEDCmp,MEDAtt,LNCmp,LNAtt,A-xA,KP,Thirds,PPA,CrsPA,Prog Passes,Live Ball Passes,Dead,TB,Pass Under Press,Sw,Crs,CK,In Corner,Out Corner,Str Corner,Ground,Low,High,Left,Right,Head,TI,Other,Offsides,Out,Intercepted,Blocks,SCA,PassLive,PassDead,Drib,Sh.1,Def,GCA,PassLive.1,PassDead.1,Drib.1,Fld,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl vs Dribble,Att vs Dribble,Past,Press,Press Succ,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks.1,Blocks Shot,Blocks ShSv,Block Pass,Int,TklInt,Clr,Err,Touches,Def Pen,Def 3rd.2,Mid 3rd.2,Att 3rd.2,Att Pen,LiveBallTouch,SuccDribs,Att,Succ%,No.Players Dribbled,Megs,Carries,TotDist.1,PrgDist.1,Prog,Carries Third,CPA,Mis,Dis,Targ,Rec,Rec%,ProgPassRec,Mn/MP,Min%,Compl,Subs,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,On-Off.1,2CrdY,Fls Comm,Fls Drawn,PKwon,PKcon,OG,Recov,Aerials Won,Won%,Gen Pos,Club,Nation,Pos,Ln Weekly Gross
4.0,26929.0,1400309.0,4200927.0,14513.0,754658.0,13.53401995,0.0,25.0,625.0,27.25,13.0,1272.0,14.1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.3,0.3,0.1,0.4,5.0,1.0,20.0,0.0,14.6,0.0,0.0,0.07,-0.3,-0.3,606.0,708.0,12974.0,4474.0,164.0,181.0,329.0,364.0,108.0,145.0,-0.1,2.0,54.0,4.0,0.0,43.0,672.0,36.0,0.0,80.0,14.0,1.0,0.0,0.0,0.0,0.0,532.0,64.0,112.0,84.0,560.0,32.0,9.0,2.0,0.0,10.0,15.0,10.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,13.0,3.0,1.0,7.0,16.0,9.0,152.0,47.0,89.0,58.0,5.0,24.0,11.0,0.0,13.0,25.0,42.0,83.0,0.0,866.0,165.0,500.0,407.0,27.0,7.0,837.0,3.0,708.0,100.0,3.0,0.0,499.0,3569.0,2061.0,36.0,4.0,0.0,2.0,3.0,541.0,528.0,97.6,0.0,64.0,37.2,12.0,7.0,13.0,0.85,18.0,35.0,-17.0,-1.2,-1.08,17.5,29.6,-12.1,-0.48,0.0,19.0,16.0,0.0,0.0,2.0,140.0,43.0,70.5,36173.69036334913,16362.6,37586.8125,39323.907692307694,10.200959051807608
1.0,11987.0,623301.0,623301.0,6479.0,336919.0,12.72759782,0.0,25.0,625.0,24.0,20.0,1807.0,20.1,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.9,0.9,1.2,2.1,9.0,3.0,33.3,0.11,6.7,0.0,0.0,0.1,0.1,0.1,930.0,1034.0,19649.0,5010.0,266.0,294.0,509.0,535.0,150.0,193.0,0.8,4.0,19.0,2.0,1.0,25.0,1001.0,33.0,0.0,153.0,33.0,1.0,0.0,0.0,0.0,0.0,814.0,105.0,115.0,207.0,745.0,49.0,7.0,5.0,2.0,21.0,4.0,9.0,9.0,8.0,0.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,42.0,22.0,23.0,18.0,1.0,15.0,28.0,13.0,253.0,88.0,141.0,104.0,8.0,30.0,10.0,0.0,20.0,26.0,68.0,99.0,2.0,1255.0,188.0,705.0,568.0,50.0,17.0,1223.0,6.0,7.0,85.7,6.0,0.0,783.0,4772.0,1698.0,36.0,8.0,0.0,9.0,3.0,811.0,790.0,97.4,12.0,75.0,52.8,18.0,4.0,13.0,2.0,47.0,26.0,21.0,1.05,0.49,34.7,22.1,12.6,-0.11,0.0,24.0,24.0,0.0,0.0,1.0,217.0,47.0,58.8,36173.69036334913,27406.065934065933,37586.8125,37565.83798882682,9.3915780082071
2.0,23973.0,1246601.0,1246601.0,12958.0,673838.0,13.420745,0.0,26.0,676.0,34.0,32.0,2783.0,30.9,2.0,1.0,2.0,0.0,0.0,5.0,0.0,1.8,1.8,0.5,2.3,22.0,3.0,13.6,0.09,9.2,0.0,0.0,0.08,0.2,0.2,1612.0,1834.0,29384.0,9046.0,700.0,750.0,721.0,793.0,174.0,252.0,0.5,10.0,85.0,5.0,0.0,85.0,1724.0,110.0,0.0,232.0,31.0,2.0,0.0,0.0,0.0,0.0,1372.0,236.0,226.0,414.0,1233.0,78.0,52.0,4.0,3.0,26.0,18.0,22.0,26.0,22.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,22.0,32.0,1.0,28.0,53.0,25.0,368.0,131.0,168.0,180.0,20.0,38.0,17.0,0.0,21.0,31.0,86.0,157.0,1.0,2162.0,147.0,873.0,1158.0,259.0,42.0,2061.0,13.0,17.0,76.5,14.0,2.0,1333.0,6345.0,2971.0,96.0,35.0,1.0,13.0,8.0,1448.0,1394.0,96.3,42.0,82.0,81.4,24.0,2.0,3.0,2.0,77.0,38.0,39.0,1.26,-0.29,64.4,32.0,32.5,-0.08,0.0,38.0,41.0,0.0,1.0,0.0,366.0,116.0,73.4,36173.69036334913,27406.065934065933,37586.8125,37565.83798882682,10.084683476042573
3.0,24137.0,1255123.0,2510245.0,13047.0,678445.0,13.42755869,0.0,28.0,784.0,33.0,28.0,2625.0,29.2,0.0,3.0,0.0,0.0,0.0,8.0,0.0,2.1,2.1,2.2,4.3,21.0,1.0,4.8,0.0,9.2,0.0,0.0,0.1,-2.1,-2.1,1558.0,1769.0,28327.0,9318.0,683.0,752.0,683.0,741.0,179.0,237.0,0.8,15.0,136.0,21.0,3.0,138.0,1682.0,87.0,1.0,189.0,23.0,9.0,0.0,0.0,0.0,0.0,1350.0,206.0,213.0,378.0,1213.0,78.0,49.0,6.0,1.0,20.0,30.0,33.0,38.0,31.0,1.0,1.0,4.0,0.0,7.0,5.0,1.0,0.0,0.0,0.0,41.0,26.0,24.0,14.0,3.0,16.0,36.0,20.0,308.0,122.0,135.0,139.0,34.0,49.0,19.0,1.0,30.0,48.0,89.0,116.0,0.0,2066.0,168.0,778.0,1079.0,351.0,54.0,1986.0,7.0,10.0,70.0,7.0,1.0,1292.0,7272.0,3908.0,169.0,53.0,3.0,17.0,12.0,1452.0,1382.0,95.2,47.0,80.0,76.8,23.0,5.0,2.0,2.03,68.0,34.0,34.0,1.17,0.15,59.6,32.4,27.2,0.05,0.0,28.0,32.0,0.0,0.0,0.0,321.0,78.0,72.2,36173.69036334913,27406.065934065933,37586.8125,39323.907692307694,10.0915012118666
4.0,23865.0,1240992.0,4963970.0,12900.0,670807.0,13.41623674,0.0,29.0,841.0,27.775,25.0,2256.0,25.1,1.0,1.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,1.0,2.9,18.0,3.0,16.7,0.06,12.1,0.0,0.0,0.1,-0.8,-0.8,1213.0,1427.0,22421.0,7729.0,520.0,581.0,517.0,570.0,159.0,236.0,0.0,11.0,87.0,15.0,7.0,80.0,1342.0,85.0,1.0,160.0,30.0,10.0,0.0,0.0,0.0,0.0,1038.0,156.0,233.0,344.0,928.0,62.0,43.0,5.0,1.0,24.0,36.0,23.0,21.0,16.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,46.0,31.0,22.0,19.0,5.0,22.0,42.0,20.0,265.0,97.0,105.0,134.0,26.0,39.0,13.0,0.0,26.0,53.0,99.0,83.0,1.0,1678.0,135.0,688.0,877.0,221.0,27.0,1598.0,7.0,1427.0,70.0,7.0,0.0,999.0,5110.0,2552.0,83.0,22.0,1.0,8.0,5.0,1102.0,1069.0,97.0,19.0,73.0,66.0,19.0,6.0,1.0,1.45,39.0,28.0,11.0,0.44,-0.03,43.4,29.9,13.5,-0.04,0.0,27.0,16.0,0.0,1.0,1.0,263.0,79.0,76.7,36173.69036334913,27406.065934065933,37586.8125,39323.907692307694,10.080168229439996
0.0,47995.0,2495729.0,2492292.0,25917.0,1347677.0,14.11389293,0.0,23.0,529.0,35.0,35.0,3125.0,34.7,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.4,0.4,1.9,2.3,11.0,2.0,18.2,0.0,22.3,0.0,0.0,0.03,-0.4,-0.4,2303.0,2662.0,35415.0,10732.0,1309.0,1434.0,805.0,929.0,147.0,213.0,-0.9,22.0,124.0,29.0,12.0,165.0,2316.0,346.0,2.0,388.0,30.0,39.0,2.0,0.0,0.0,0.0,1774.0,594.0,294.0,383.0,1828.0,100.0,311.0,11.0,3.0,20.0,55.0,74.0,55.0,50.0,3.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,64.0,37.0,36.0,24.0,4.0,29.0,65.0,36.0,411.0,153.0,158.0,169.0,84.0,60.0,5.0,0.0,55.0,37.0,101.0,54.0,1.0,2979.0,83.0,747.0,1611.0,805.0,21.0,2640.0,29.0,53.0,54.7,36.0,4.0,1960.0,8804.0,4914.0,219.0,99.0,8.0,31.0,38.0,2081.0,1954.0,93.9,69.0,89.0,91.4,33.0,0.0,2.0,2.34,66.0,25.0,41.0,1.18,-0.95,59.6,22.1,37.5,-0.05,0.0,30.0,23.0,0.0,1.0,0.0,407.0,38.0,50.7,36173.69036334913,65529.49494949495,37586.8125,37565.83798882682,10.778852117797637
1.0,47946.0,2493202.0,2493202.0,25917.0,1347677.0,14.11389293,0.0,24.0,576.0,27.0,24.0,2107.0,23.4,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,0.8,1.4,13.0,2.0,15.4,0.0,19.5,0.0,0.0,0.05,-0.6,-0.6,1535.0,1788.0,25691.0,8270.0,739.0,803.0,660.0,732.0,115.0,192.0,1.2,16.0,101.0,18.0,4.0,119.0,1599.0,189.0,3.0,241.0,36.0,32.0,0.0,0.0,0.0,0.0,1236.0,246.0,306.0,319.0,1211.0,66.0,168.0,6.0,3.0,22.0,27.0,46.0,38.0,34.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,48.0,34.0,26.0,17.0,5.0,21.0,53.0,32.0,309.0,97.0,144.0,108.0,57.0,34.0,4.0,0.0,30.0,12.0,60.0,39.0,0.0,1984.0,64.0,580.0,1092.0,454.0,32.0,1796.0,24.0,38.0,63.2,26.0,3.0,1448.0,7523.0,4230.0,183.0,61.0,9.0,15.0,27.0,1437.0,1377.0,95.8,46.0,78.0,61.6,19.0,3.0,11.0,2.19,45.0,21.0,24.0,1.03,0.07,45.7,18.1,27.6,0.76,0.0,23.0,25.0,0.0,0.0,0.0,255.0,22.0,44.0,36173.69036334913,65529.49494949495,37586.8125,37565.83798882682,10.777830656602518
2.0,47946.0,2493202.0,2493202.0,25917.0,1347677.0,14.11389293,0.0,25.0,625.0,20.0,17.0,1481.0,16.5,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,1.4,1.7,5.0,3.0,60.0,0.2,19.5,0.0,0.0,0.05,0.7,0.7,1098.0,1299.0,18329.0,6483.0,571.0,615.0,424.0,485.0,84.0,146.0,0.6,20.0,84.0,19.0,7.0,104.0,1145.0,154.0,0.0,162.0,33.0,30.0,1.0,0.0,1.0,0.0,893.0,199.0,207.0,297.0,862.0,22.0,112.0,0.0,1.0,13.0,18.0,37.0,36.0,33.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,22.0,17.0,14.0,7.0,1.0,9.0,23.0,14.0,164.0,52.0,65.0,69.0,30.0,32.0,4.0,0.0,28.0,9.0,31.0,33.0,0.0,1425.0,50.0,434.0,772.0,342.0,14.0,1280.0,15.0,23.0,65.2,16.0,1.0,1029.0,5750.0,3442.0,143.0,51.0,8.0,6.0,9.0,1038.0,1014.0,97.7,26.0,74.0,43.3,11.0,3.0,14.0,2.0,24.0,17.0,7.0,0.43,0.24,21.8,14.0,7.8,-0.23,0.0,11.0,20.0,0.0,0.0,0.0,159.0,9.0,37.5,36173.69036334913,65529.49494949495,37586.8125,37565.83798882682,10.777830656602518
3.0,60342.0,3137807.0,12551226.0,32618.0,1696112.0,14.34384913,1.0,27.0,729.0,24.0,20.0,1768.0,19.6,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.6,1.8,8.0,0.0,0.0,0.0,25.0,0.0,0.0,0.03,-0.2,-0.2,1045.0,1231.0,17548.0,6057.0,545.0,593.0,366.0,417.0,111.0,169.0,0.4,14.0,71.0,11.0,0.0,84.0,1055.0,176.0,4.0,138.0,17.0,9.0,1.0,0.0,0.0,0.0,849.0,199.0,183.0,343.0,702.0,34.0,144.0,0.0,4.0,13.0,32.0,22.0,30.0,28.0,0.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,30.0,18.0,20.0,9.0,1.0,14.0,36.0,22.0,234.0,67.0,107.0,90.0,37.0,35.0,4.0,0.0,31.0,35.0,65.0,51.0,1.0,1417.0,82.0,461.0,794.0,264.0,16.0,1251.0,17.0,27.0,63.0,19.0,1.0,898.0,4799.0,2806.0,100.0,35.0,5.0,14.0,11.0,972.0,922.0,94.9,17.0,74.0,51.7,13.0,4.0,8.0,2.21,48.0,18.0,30.0,1.53,0.71,33.7,21.1,12.6,-0.1,0.0,18.0,22.0,0.0,1.0,0.0,156.0,18.0,50.0,36173.69036334913,46740.31067961165,37586.8125,34797.269841269845,11.007783657672535
4.0,59663.0,3102481.0,9307443.0,32250.0,1677017.0,14.33252718,0.0,28.0,784.0,25.35,24.0,2027.0,22.5,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.6,1.1,4.0,2.0,50.0,0.25,21.2,0.0,0.0,0.13,0.5,0.5,1232.0,1415.0,20077.0,6849.0,636.0,680.0,486.0,544.0,88.0,143.0,-0.6,10.0,79.0,16.0,4.0,68.0,1254.0,161.0,0.0,110.0,14.0,22.0,0.0,0.0,0.0,0.0,1048.0,184.0,183.0,373.0,841.0,33.0,148.0,6.0,2.0,9.0,34.0,30.0,29.0,27.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,24.0,24.0,16.0,3.0,24.0,38.0,14.0,207.0,73.0,88.0,81.0,38.0,36.0,8.0,0.0,28.0,29.0,72.0,34.0,0.0,1606.0,69.0,512.0,871.0,314.0,24.0,1450.0,15.0,1415.0,46.9,16.0,5.0,1095.0,4494.0,1949.0,74.0,28.0,3.0,13.0,11.0,1153.0,1097.0,95.1,36.0,70.0,59.3,15.0,5.0,7.0,1.48,42.0,40.0,2.0,0.09,-1.01,30.4,33.3,-2.9,-0.81,0.0,16.0,19.0,0.0,1.0,0.0,175.0,22.0,47.8,36173.69036334913,46740.31067961165,37586.8125,34797.269841269845,10.996467341752533
